Nome: MARINGA
Codigo Estacao: A835
Latitude: -23.40527777
Longitude: -51.93277777
Altitude: 548.51
Situacao: Operante
Data Inicial: 2006-11-20
Data Final: 2024-07-07
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);
2006-11-20;null;null;
2006-11-21;null;null;
2006-11-22;null;33,4;
2006-11-23;0;35,1;
2006-11-24;0;34,7;
2006-11-25;2,4;30,6;
2006-11-26;19,2;31,4;
2006-11-27;0;30,6;
2006-11-28;5,4;28,6;
2006-11-29;16;30,1;
2006-11-30;3,4;32,5;
2006-12-01;0;31,5;
2006-12-02;0;32,5;
2006-12-03;0;31,1;
2006-12-04;0;31,1;
2006-12-05;10,8;30;
2006-12-06;14,2;30,3;
2006-12-07;19,8;27,4;
2006-12-08;16,6;24,1;
2006-12-09;1;28,2;
2006-12-10;0;31,4;
2006-12-11;0;32,2;
2006-12-12;0;31,3;
2006-12-13;0;32,3;
2006-12-14;0;30,8;
2006-12-15;0;32,8;
2006-12-16;0;34,3;
2006-12-17;0;35,1;
2006-12-18;0;34,2;
2006-12-19;0;33,1;
2006-12-20;19,2;26,7;
2006-12-21;106,6;25,1;
2006-12-22;15,4;26,3;
2006-12-23;15,2;26,2;
2006-12-24;null;28,9;
2006-12-25;null;null;
2006-12-26;null;null;
2006-12-27;,4;31,4;
2006-12-28;0;30,8;
2006-12-29;0;30,9;
2006-12-30;0;30;
2006-12-31;0;28,8;
2007-01-01;6,6;27,4;
2007-01-02;3,8;27,5;
2007-01-03;12,2;28;
2007-01-04;6,2;28,3;
2007-01-05;18,4;26,9;
2007-01-06;10,6;30,4;
2007-01-07;10,6;29;
2007-01-08;10,6;29,7;
2007-01-09;4,4;29;
2007-01-10;0;31,3;
2007-01-11;0;29,9;
2007-01-12;1;29,2;
2007-01-13;11,4;27,9;
2007-01-14;62,4;30,8;
2007-01-15;3,8;28;
2007-01-16;0;31;
2007-01-17;0;26,2;
2007-01-18;9,6;29,8;
2007-01-19;3,8;32,4;
2007-01-20;36,2;28,6;
2007-01-21;0;30,4;
2007-01-22;,2;27,5;
2007-01-23;0;29,9;
2007-01-24;,2;30,3;
2007-01-25;0;31,4;
2007-01-26;0;29,7;
2007-01-27;26,2;30,7;
2007-01-28;12,8;26,9;
2007-01-29;17,4;28,4;
2007-01-30;0;31,9;
2007-01-31;0;29,8;
2007-02-01;0;32,1;
2007-02-02;3,4;32,4;
2007-02-03;4,4;30,7;
2007-02-04;,4;30,7;
2007-02-05;0;30,9;
2007-02-06;,2;31,7;
2007-02-07;11,4;30,1;
2007-02-08;0;31,5;
2007-02-09;10,8;29,4;
2007-02-10;13,6;27,4;
2007-02-11;5,6;27,9;
2007-02-12;,6;28,6;
2007-02-13;0;28,6;
2007-02-14;0;29,3;
2007-02-15;0;30,7;
2007-02-16;0;31,8;
2007-02-17;0;29,6;
2007-02-18;12,4;29,3;
2007-02-19;25,6;29,5;
2007-02-20;28,2;27,4;
2007-02-21;19,6;30,2;
2007-02-22;0;32,4;
2007-02-23;,6;32,7;
2007-02-24;0;33,1;
2007-02-25;30,6;30,7;
2007-02-26;34,4;29,5;
2007-02-27;0;29,9;
2007-02-28;0;31,2;
2007-03-01;0;32;
2007-03-02;0;31,2;
2007-03-03;19,6;32,3;
2007-03-04;0;32,3;
2007-03-05;0;32,4;
2007-03-06;0;33,3;
2007-03-07;0;33,2;
2007-03-08;0;33,1;
2007-03-09;0;32,8;
2007-03-10;,6;30,6;
2007-03-11;17;30,9;
2007-03-12;23;31,6;
2007-03-13;8,2;29,2;
2007-03-14;0;30,6;
2007-03-15;4;29,9;
2007-03-16;1;29,4;
2007-03-17;6,2;27,4;
2007-03-18;36,4;26,5;
2007-03-19;0;25,2;
2007-03-20;0;27,6;
2007-03-21;0;28,5;
2007-03-22;0;30,7;
2007-03-23;0;31,1;
2007-03-24;0;33;
2007-03-25;29,2;32,8;
2007-03-26;0;33,2;
2007-03-27;0;33,9;
2007-03-28;,6;34,5;
2007-03-29;0;35;
2007-03-30;0;34;
2007-03-31;0;31,3;
2007-04-01;0;34,1;
2007-04-02;0;33,8;
2007-04-03;0;34;
2007-04-04;0;33,3;
2007-04-05;5,6;30,6;
2007-04-06;0;30,4;
2007-04-07;16,6;26,9;
2007-04-08;6,4;26,9;
2007-04-09;,4;25,9;
2007-04-10;0;28,8;
2007-04-11;0;29,6;
2007-04-12;0;29,1;
2007-04-13;0;23,1;
2007-04-14;6,2;30,9;
2007-04-15;0;29,1;
2007-04-16;0;31,1;
2007-04-17;0;30,4;
2007-04-18;0;30,3;
2007-04-19;0;30,7;
2007-04-20;0;31,1;
2007-04-21;0;30,8;
2007-04-22;0;29,8;
2007-04-23;0;31,1;
2007-04-24;0;32,3;
2007-04-25;9;28,6;
2007-04-26;,8;26,5;
2007-04-27;18,4;24,4;
2007-04-28;0;23,5;
2007-04-29;0;26,1;
2007-04-30;,2;28,6;
2007-05-01;0;28,9;
2007-05-02;0;30,5;
2007-05-03;0;30,3;
2007-05-04;0;28;
2007-05-05;0;28,8;
2007-05-06;0;29,8;
2007-05-07;0;29,8;
2007-05-08;,8;25,9;
2007-05-09;10,2;17,4;
2007-05-10;0;22;
2007-05-11;0;23,4;
2007-05-12;0;27,7;
2007-05-13;0;27,2;
2007-05-14;,2;26,8;
2007-05-15;0;26,9;
2007-05-16;0;29,7;
2007-05-17;0;27,9;
2007-05-18;0;26,2;
2007-05-19;8;22,4;
2007-05-20;,2;24,7;
2007-05-21;0;28,2;
2007-05-22;16,8;24,5;
2007-05-23;16,6;18,3;
2007-05-24;0;15;
2007-05-25;0;19,4;
2007-05-26;0;22,1;
2007-05-27;0;22,8;
2007-05-28;0;22,4;
2007-05-29;0;18,5;
2007-05-30;0;16,9;
2007-05-31;0;19,1;
2007-06-01;0;24,3;
2007-06-02;7,8;21;
2007-06-03;0;18,7;
2007-06-04;0;20,2;
2007-06-05;0;22,5;
2007-06-06;0;24,7;
2007-06-07;0;28,1;
2007-06-08;0;29,1;
2007-06-09;0;29,3;
2007-06-10;0;28,7;
2007-06-11;0;28,2;
2007-06-12;0;28,2;
2007-06-13;0;28,2;
2007-06-14;0;28,4;
2007-06-15;0;29,3;
2007-06-16;0;26,3;
2007-06-17;0;28;
2007-06-18;0;30;
2007-06-19;0;27,7;
2007-06-20;0;28;
2007-06-21;0;27,5;
2007-06-22;0;27,3;
2007-06-23;0;28,4;
2007-06-24;0;27,6;
2007-06-25;0;24,1;
2007-06-26;0;26,1;
2007-06-27;,2;27,4;
2007-06-28;0;23,2;
2007-06-29;0;24,3;
2007-06-30;0;24,8;
2007-07-01;0;25,7;
2007-07-02;0;26,8;
2007-07-03;0;26,6;
2007-07-04;0;27,7;
2007-07-05;0;29,5;
2007-07-06;0;30,4;
2007-07-07;0;30;
2007-07-08;0;30,7;
2007-07-09;0;29,9;
2007-07-10;0;24,7;
2007-07-11;0;18,2;
2007-07-12;null;null;
2007-07-13;0;26,7;
2007-07-14;0;25,7;
2007-07-15;13,6;22,7;
2007-07-16;17,8;20,3;
2007-07-17;80,4;16,8;
2007-07-18;null;20,3;
